央视频道,#genre#
熊猫新闻HD,http://222.211.227.103:2345/udp/239.93.1.112:5140
熊猫体娱HD,http://222.211.227.103:2345/udp/239.93.0.94:5140
熊猫爱生活HD,http://222.211.227.103:2345/udp/239.93.1.190:5140
魅力时尚HD,http://222.211.227.103:2345/udp/239.93.0.190:9012
生活时尚,http://222.211.227.103:2345/udp/239.93.0.106:5140
爱生活HD,http://222.211.227.103:2345/udp/239.93.0.206:8028
睛彩四川,http://222.211.227.103:2345/udp/239.93.0.126:5140
熊猫频道HD,http://222.211.227.103:2345/udp/239.93.0.211:9148
成都体育HD,http://222.211.227.103:2345/udp/239.93.0.224:1281
汽摩HD,http://222.211.227.103:2345/udp/239.93.0.62:5140
电竞天堂HD,http://222.211.227.103:2345/udp/239.93.1.135:5140
爱电竞HD,http://222.211.227.103:2345/udp/239.93.42.19:5140
爱赛车HD,http://222.211.227.103:2345/udp/239.93.42.20:5140
游戏风云,http://222.211.227.103:2345/udp/239.93.0.136:5140
汽车频道,http://222.211.227.103:2345/udp/239.93.0.117:1292
足球HD,http://222.211.227.103:2345/udp/239.93.0.197:9040
高网HD,http://222.211.227.103:2345/udp/239.93.0.202:9068
台球HD,http://222.211.227.103:2345/udp/239.93.0.203:9072
纪实人文,http://222.211.227.103:2345/udp/239.93.1.154:5140
墨宝HD,http://222.211.227.103:2345/udp/239.93.0.215:9132
军事HD,http://222.211.227.103:2345/udp/239.93.0.204:9076
解密HD,http://222.211.227.103:2345/udp/239.93.0.199:9048
地理HD,http://222.211.227.103:2345/udp/239.93.0.200:9052
星空精选HD,http://222.211.227.103:2345/udp/239.93.1.171:5140



兴趣频道,#genre#
快乐垂钓HD,http://222.211.227.103:2345/udp/239.93.1.151:5140
茶频道HD,http://222.211.227.103:2345/udp/239.93.0.114:5140

纪实频道,#genre#
上海纪实HD,http://222.211.227.103:2345/udp/239.93.1.137:5140
金鹰纪实HD,http://222.211.227.103:2345/udp/239.93.0.130:5140
求索频道HD,http://222.211.227.103:2345/udp/239.93.42.24:5140

戏曲频道,#genre#
IPTV戏曲频道,http://58.45.109.39:6666/udp/239.76.246.40:1234
IPTV故事频道,http://58.45.109.39:6666/udp/239.76.246.41:1234
